_id,data/faceRectangle/top,data/faceRectangle/width,data/faceRectangle/left,data/faceRectangle/height,data/faceId,data/attributes/age,data/attributes/gender,data/attributes/headPose/yaw,data/attributes/headPose/pitch,data/attributes/headPose/roll,_id,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height
005501.jpg1,79,54,196,54,1f5e74ab-5152-47ae-acaf-afc9b284671e,40,male,1,0,-8,003751.jpg1,0.6872928,0.008486929,0.010462762,0.09353433,0.005939773,0.048169483,0.132373512,0.013740378,72,6,254,72
005501.jpg2,102,33,397,33,cb35662d-f5de-403d-8377-4357c98e067b,41,female,19.5,0,-2,003751.jpg2,0.981602132,0.000277415,0.000419621,0.001650531,3.98189E-05,0.003664378,0.01227067,7.54251E-05,56,206,235,56
006001.jpg1,82,131,279,131,843cb1d8-a5b6-4270-aa41-c85b887fe73e,70,male,2.8,0,5.6,003751.jpg3,0.9812989,0.000364236,0.000579124,0.011266592,2.50347E-05,0.003701295,0.002642513,0.000122257,51,103,184,51
006251.jpg1,75,138,246,138,cdfdf3e3-331a-4be7-b6ff-fb16e3959400,82,male,-0.8,0,-1.3,004501.jpg1,0.998527,5.25E-07,0.000419857,2.70465E-06,9.51E-08,0.001014157,3.52224E-05,4.44E-07,51,173,81,51
006501.jpg1,79,137,243,137,5f9c6a26-73a5-4690-b6f6-378c3f967ce2,75,male,0,0,1,004751.jpg1,0.9435063,0.000709833,0.01629914,0.006230203,0.000148168,0.007825441,0.02333978,0.001941136,63,294,100,63
006751.jpg1,88,136,255,136,998bcbf1-59b2-4220-96e2-d31ec2d275fe,84,male,4.8,0,0.7,005001.jpg1,0.9912203,3.69725E-05,7.37471E-05,3.94991E-05,5.33611E-06,0.008619652,3.99646E-06,4.97E-07,43,261,110,43
007001.jpg1,82,141,233,141,c3243c87-de86-42fb-8714-51ac585e02ae,78,male,-0.5,0,-1.6,005251.jpg1,0.9819858,0.001577817,0.001660197,0.002935648,4.09914E-05,0.002638171,0.00881445,0.000346907,49,214,77,49
007251.jpg1,97,139,243,139,e3745c5f-ab9e-49a1-8f43-2c326ba5fbdc,78,male,-4.1,0,-2.6,005501.jpg1,0.98661,4.40191E-06,0.005516948,0.000345816,4.50302E-06,0.006152253,0.001315258,5.08089E-05,54,196,79,54
007501.jpg1,79,140,247,140,536572bf-57b4-40ea-a0b7-2e3bcec78be1,83,male,10.6,0,-3.1,006001.jpg1,0.9454663,0.000636217,0.000674483,0.045179848,3.03313E-05,0.006243509,0.001537099,0.000232219,130,280,83,130
007751.jpg1,95,139,230,139,f30ff054-793f-4cd5-96fa-edbeb00296b5,83,male,3.8,0,-4.5,006251.jpg1,0.862080932,0.020692773,0.039114893,0.005905747,0.00195102,0.017761167,0.012404048,0.040089395,140,245,75,140
008001.jpg1,90,92,286,92,eff9de51-52ed-4c59-ba42-d101051dcb01,75,female,9,0,-1.5,006501.jpg1,0.9722008,0.01551393,0.002486998,0.001084408,0.000306527,0.003088173,0.001540288,0.003778862,137,243,79,137
008251.jpg1,90,120,244,120,00342756-cbda-4d50-b04c-0c72d8a0e5d6,62,female,-4.8,0,-5.3,006751.jpg1,0.756095052,0.027728826,0.003760796,0.012234934,0.00328898,0.1811571,0.001525535,0.01420878,136,254,88,136
008501.jpg1,90,121,242,121,c624c6b9-0998-4175-a643-3259b2a7ad05,58,female,-12.9,0,-4.4,007001.jpg1,0.872577131,0.013991523,0.05801062,0.003282278,0.000729482,0.00256488,0.011896815,0.03694729,142,233,82,142
008751.jpg1,99,124,270,124,c5aa262d-713e-4c16-91eb-1d9dbc966344,52,female,-2.7,0,2.2,007251.jpg1,0.696916461,0.003009539,0.169038966,0.015310632,0.002573567,0.012814404,0.032337796,0.06799863,140,243,97,140
009001.jpg1,84,123,231,123,e7692a98-f155-47d3-9a68-25b433d60ad3,46,female,-8,0,-1.9,007501.jpg1,0.243193388,0.137224466,0.505899,0.009154778,0.004666724,0.002175755,0.001690682,0.0959952,138,247,81,138
009251.jpg1,110,122,237,122,387db8a8-0a5b-4352-b253-8882aef33b8d,46,female,-24.6,0,5.7,007751.jpg1,0.85302335,0.006907143,0.032241523,0.053317875,0.008756823,0.015182585,0.01253172,0.018039001,139,229,95,139
009501.jpg1,104,127,252,127,b43fd04d-5115-47af-b955-3b219b9851c3,62,female,-2.9,0,4.2,008001.jpg1,0.7303153,0.000236996,0.000525789,0.219702438,1.69534E-05,0.001096903,0.04749346,0.000612111,92,286,90,92
009751.jpg1,89,119,246,119,1ebcb67f-dcdf-4ff5-b753-5df3e8364847,43,female,-3.4,0,-1.9,008251.jpg1,0.116416924,0.001987419,0.000129615,0.871523857,0.000142351,0.001049144,0.007186257,0.00156443,121,243,89,121
010001.jpg1,99,122,252,122,3f314419-6d6a-470a-9b55-06cbc9fe7e55,64,female,-4.4,0,1.1,008501.jpg1,0.5935975,0.135904834,0.000766865,0.196148872,0.01697658,0.031238353,0.016436372,0.008930678,121,242,90,121
010251.jpg1,125,131,276,131,e52ecc5a-530d-4982-bf1a-d74470ee3cd7,29,male,-9.5,0,5.9,008751.jpg1,0.44648844,0.03755203,0.000168134,0.512121737,0.000204465,0.001088184,0.00176107,0.000615952,125,269,98,125
010501.jpg1,88,118,279,118,c5f3035f-6edf-4282-bb8d-1d4444281d1a,50,female,24.7,0,-1.8,009001.jpg1,0.678680658,0.045908887,0.020634309,0.19398351,0.001272726,0.00343932,0.030885031,0.025195586,125,230,83,125
010751.jpg1,79,44,113,44,620dc313-63a7-4cbe-9368-5f00f5df58c9,80,male,19.8,0,-1.9,009251.jpg1,0.7074655,0.003409249,0.001448128,0.2596216,0.002569397,0.012411357,0.012198387,0.000876364,120,239,111,120
010751.jpg2,97,41,483,41,0d459f81-2e43-45dc-ad7e-eaf15aa5feb8,36,female,37.6,0,-3.7,009501.jpg1,0.803116441,0.012288764,0.00391937,0.07752789,0.004553348,0.06987535,0.01596417,0.012754661,125,253,104,125
011001.jpg1,98,123,244,123,5d5fec4d-f8e7-45cf-9246-81cea9d4cd52,76,female,-5.3,0,-4.6,009751.jpg1,0.478636,0.163285464,0.000367431,0.347607583,0.001342833,0.005726665,0.001838782,0.001195238,121,244,88,121
011251.jpg1,103,119,298,119,fb4814bd-51b4-4b1d-92da-4f6450753709,44,female,25.5,0,-11.3,010001.jpg1,0.7247687,0.03797397,0.005133296,0.208896086,0.002275743,0.002198959,0.018017784,0.000735445,121,253,99,121
011501.jpg1,88,122,252,122,1da01ade-5bfd-4942-9709-97943a13438a,66,female,-4.4,0,1,010251.jpg1,0.903539538,0.008802201,0.008776534,0.068522945,7.82159E-05,0.001716258,0.006443661,0.002120667,137,275,120,137
011751.jpg1,107,123,230,123,007e2a28-9382-4e64-a8fe-36c8dfcdb446,53,female,-24.2,0,2.1,010501.jpg1,0.879590869,7.11745E-05,0.000149259,0.017683329,0.000195063,0.100167111,0.002100948,4.22393E-05,117,280,88,117
012001.jpg1,82,119,261,119,301feb6e-d42f-4fbe-8a2e-e99da7fdbb4a,43,female,3.2,0,-4.1,010751.jpg1,0.9141375,0.000132789,0.007874633,0.00032159,1.77275E-05,0.07455784,0.001163877,0.001794038,44,112,79,44
012251.jpg1,107,122,216,122,c98d9827-78aa-4c71-b7cc-2523b1796749,50,female,-22.7,0,-7.5,010751.jpg2,0.968890965,0.000603165,0.000721749,0.012199666,7.38932E-05,0.005482557,0.011896872,0.000131115,42,483,97,42
012501.jpg1,103,123,239,123,68159457-948a-4d45-bd58-16eb7f42a85f,47,female,-19.9,0,-0.1,011001.jpg1,0.467233568,0.003260696,0.001111549,0.4501572,0.005107321,0.043560986,0.024169987,0.005398683,123,245,98,123
012751.jpg1,98,121,197,121,624cc52b-d367-41e8-b354-2dd29c23bb03,47,female,-16.3,0,-1.3,011251.jpg1,0.458800882,3.76997E-05,2.50248E-06,0.540220737,1.03952E-06,0.000108139,0.000828613,3.95E-07,118,298,105,118
013001.jpg1,108,126,242,126,8a058fe3-9e62-4304-8e15-187871a7a501,55,female,-20,0,2.3,011501.jpg1,0.9302815,0.023359433,0.00678697,0.003909561,0.000212231,0.009362045,0.021750016,0.004338209,122,253,89,122
013251.jpg1,85,121,251,121,47ee6475-14f3-4d42-996a-737b81e6da72,54,female,-4.9,0,2.7,011751.jpg1,0.787651837,0.00500857,0.015270754,0.132646218,0.000748206,0.005575312,0.040180776,0.012918326,124,229,107,124
013501.jpg1,115,45,431,45,f6cd381a-d73c-4b4a-9521-0195839126ff,36,female,-23.2,0,-2.4,012001.jpg1,0.335903,0.003172843,9.89424E-05,0.659635365,2.22634E-05,0.000159109,0.000892718,0.000115791,119,261,82,119
013751.jpg1,63,44,164,44,aea1bd60-5adc-4398-92f8-91e105530894,56,male,32.5,0,-10.4,012251.jpg1,0.928889155,0.005404316,0.01655845,0.021834487,0.001002095,0.003943357,0.020015366,0.002352749,124,216,107,124
