_id,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height
009001.jpg1,0.678680658,0.0459088869,0.0206343085,0.19398351,0.00127272576,0.00343932025,0.0308850314,0.0251955856,125,230,83,125
009251.jpg1,0.7074655,0.00340924878,0.001448128,0.2596216,0.002569397,0.0124113569,0.0121983867,0.0008763644,120,239,111,120
009501.jpg1,0.803116441,0.0122887641,0.00391936954,0.07752789,0.004553348,0.06987535,0.01596417,0.012754661,125,253,104,125
009751.jpg1,0.478636,0.163285464,0.00036743065,0.347607583,0.00134283316,0.00572666526,0.00183878164,0.00119523844,121,244,88,121
010001.jpg1,0.7247687,0.03797397,0.005133296,0.208896086,0.002275743,0.00219895854,0.0180177838,0.000735444948,121,253,99,121
010251.jpg1,0.903539538,0.008802201,0.008776534,0.068522945,0.0000782159259,0.00171625824,0.00644366071,0.002120667,137,275,120,137
010501.jpg1,0.879590869,0.00007117446,0.000149258718,0.0176833291,0.000195063316,0.100167111,0.00210094778,0.0000422392623,117,280,88,117
010751.jpg1,0.9141375,0.000132789355,0.007874633,0.000321590138,0.0000177274978,0.07455784,0.00116387685,0.00179403822,44,112,79,44
010751.jpg2,0.968890965,0.0006031649,0.0007217493,0.0121996664,0.0000738932358,0.00548255676,0.011896872,0.0001311153,42,483,97,42
011001.jpg1,0.467233568,0.003260696,0.001111549,0.4501572,0.005107321,0.0435609855,0.0241699871,0.005398683,123,245,98,123
011251.jpg1,0.458800882,0.0000376996722,0.000002502478,0.540220737,0.00000103951947,0.000108139233,0.000828612538,3.946783e-7,118,298,105,118
011501.jpg1,0.9302815,0.0233594328,0.00678697042,0.00390956132,0.0002122305,0.009362045,0.0217500161,0.00433820859,122,253,89,122
011751.jpg1,0.787651837,0.00500857038,0.0152707538,0.132646218,0.000748205639,0.005575312,0.0401807763,0.0129183261,124,229,107,124
012001.jpg1,0.335903,0.00317284348,0.0000989423643,0.659635365,0.00002226338,0.000159108677,0.000892718439,0.000115791234,119,261,82,119
012251.jpg1,0.928889155,0.00540431635,0.01655845,0.0218344871,0.00100209482,0.003943357,0.0200153664,0.002352749,124,216,107,124
012501.jpg1,0.762533,0.0112975659,0.00219667819,0.203870669,0.000793677464,0.004373339,0.0139809316,0.0009541166,123,238,103,123
012751.jpg1,0.0881746262,0.00002802146,7.423061e-7,0.9108059,0.000007474966,0.0000821488,0.0008987676,0.0000023307332,120,199,98,120
013001.jpg1,0.6389638,0.213104144,0.0153688621,0.111617431,0.00256510475,0.0025683823,0.0118111111,0.004001171,125,244,109,125
013251.jpg1,0.6594346,0.009696306,0.0004176313,0.315250516,0.000184471428,0.00378815434,0.00762385176,0.0036044342,122,250,85,122
013501.jpg1,0.0726773,0.000306087779,0.00006340922,0.9240605,0.0000242563274,0.00210210518,0.0006775949,0.00008870565,44,432,116,44
014001.jpg1,0.8313769,0.00503298035,0.0006649324,0.107400812,0.0045053903,0.0436911732,0.005594646,0.00173317688,123,278,90,123
014251.jpg1,0.7919995,0.121012047,0.0385869928,0.004189519,0.00694705267,0.0109096393,0.0134183438,0.0129368994,143,178,97,143
014501.jpg1,0.775987566,0.0228935983,0.09775674,0.0147843622,0.000925499829,0.0125692058,0.0264376886,0.04864532,151,162,87,151
014751.jpg1,0.8590677,0.0886893347,0.0415754654,0.000202845549,0.000005969466,0.00009542915,0.00221888,0.008144379,144,229,100,144
015251.jpg1,0.8558861,0.0168817975,0.0936413258,0.00447396468,0.00005838239,0.0007005182,0.006611284,0.0217466,147,250,94,147
015501.jpg1,0.5350339,0.00180020509,0.007348,0.4189808,0.00003177849,0.00163174537,0.0161958989,0.0189777147,144,230,114,144
015751.jpg1,0.841181,0.141242653,0.009759386,0.00328519265,0.000476337853,0.0007513855,0.00209968188,0.00120440347,142,214,104,142
016001.jpg1,0.7287872,0.00438587228,0.108094722,0.007280862,0.000237341883,0.0138783073,0.0259354357,0.111400269,144,226,116,144
016251.jpg1,0.856460333,0.0604381226,0.006608663,0.0600182526,0.000324642373,0.007723002,0.00360180251,0.004825199,144,230,93,144
016501.jpg1,0.6423789,0.0060745473,0.182823241,0.00337244826,0.0003124341,0.00561838644,0.0211832356,0.138236821,147,228,118,147
016751.jpg1,0.6540469,0.005238179,0.203965083,0.0196278635,0.00118239946,0.0141430162,0.0580921359,0.0437044129,146,216,113,146
017001.jpg1,0.8546165,0.0410134941,0.0490702,0.007814756,0.000267672352,0.00257583614,0.0125169046,0.032124605,144,240,112,144
017251.jpg1,0.856869459,0.0182713214,0.0526428148,0.00592465559,0.0027367922,0.02945746,0.0245027877,0.009594707,147,215,105,147
017501.jpg1,0.926988065,0.0426757857,0.0088962,0.008956905,0.000588251045,0.002133557,0.006873395,0.00288781244,144,232,113,144
017751.jpg1,0.00006738546,0.00000249394816,1.04331065e-7,0.999929667,2.08729278e-9,4.548696e-9,1.57797885e-7,1.6206522e-7,50,517,125,50
018001.jpg1,0.325864851,0.009682258,0.00165484741,0.6163163,0.0002938408,0.000875817146,0.0411243476,0.00418768451,111,284,92,111
018251.jpg1,0.01773832,0.0000131934758,5.95222048e-7,0.981597841,1.38931142e-7,8.55852e-7,0.0006477199,0.00000131122624,112,269,108,112
018501.jpg1,0.967706442,0.0296282545,0.000277539919,0.000281698245,0.00104395638,0.000514462066,0.0005003295,0.00004734457,133,130,75,133
018501.jpg2,0.8274821,0.140072137,0.00349252345,0.00265004556,0.000380450074,0.004793842,0.0182288662,0.002900049,114,438,93,114
018751.jpg1,0.398210466,0.005451884,0.0003168623,0.5805615,0.0005152639,0.00221674051,0.008612837,0.0041144304,116,271,93,116
019001.jpg1,0.9787906,0.000251672929,0.00000967849,0.0000785797238,0.000147315353,0.0201516245,0.000561243738,0.000009324914,114,352,103,114
019501.jpg1,0.918319464,0.003222851,0.00383223058,0.00167117221,0.000581675151,0.05565325,0.0136952819,0.003024071,137,181,101,137
019751.jpg1,0.9141335,0.0143016828,0.0606653728,0.000702757447,0.000465595978,0.0003332501,0.00230762642,0.007090211,128,229,85,128
020001.jpg1,0.7006978,0.0156029752,0.188075483,0.0248991,0.000133972324,0.00240203529,0.0169556811,0.0512329862,137,197,102,137
020251.jpg1,0.7465775,0.0114656519,0.103042871,0.0208976455,0.00638810545,0.0170160476,0.03409653,0.06051567,136,214,95,136
020501.jpg1,0.949878454,0.0000351000781,0.0005556495,0.00008160546,0.0000034657603,0.04556326,0.00355303963,0.000329450762,120,444,117,120
020751.jpg1,0.67620635,0.0023867893,0.004910609,0.0111772241,0.00164405291,0.296148628,0.00344983628,0.004076496,124,182,131,124
021001.jpg1,0.5887593,0.3274521,0.00553132966,0.008914629,0.00266467873,0.0150517235,0.0138801895,0.0377460681,112,250,132,112
021251.jpg1,0.9269755,0.0005072859,0.0007523772,0.04216282,0.00018173804,0.00874397,0.0203144867,0.0003618459,110,284,78,110
021501.jpg1,0.9443369,0.00139935571,0.00070611,0.0332071669,0.0003501363,0.00496348459,0.0147468373,0.0002900319,112,313,86,112
022001.jpg1,0.00363964564,0.00020292087,1.60660214e-8,0.996124744,2.1759849e-8,6.774531e-8,0.0000313056771,0.00000126321868,113,309,93,113
