_id,ID,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height,id,Who?
007251.jpg1,007251.jpg,0.696916461,0.003009539,0.169038966,0.015310632,0.002573567,0.012814404,0.032337796,0.06799863,140,243,97,140,007251.jpg5,male
007501.jpg1,007501.jpg,0.243193388,0.137224466,0.505899,0.009154778,0.004666724,0.002175755,0.001690682,0.0959952,138,247,81,138,007501.jpg5,male
007751.jpg1,007751.jpg,0.85302335,0.006907143,0.032241523,0.053317875,0.008756823,0.015182585,0.01253172,0.018039001,139,229,95,139,007751.jpg5,male
008001.jpg1,008001.jpg,0.7303153,0.000236996,0.000525789,0.219702438,1.70E-05,0.001096903,0.04749346,0.000612111,92,286,90,92,008001.jpg6,female
008251.jpg1,008251.jpg,0.116416924,0.001987419,0.000129615,0.871523857,0.000142351,0.001049144,0.007186257,0.00156443,121,243,89,121,008251.jpg5,female
008501.jpg1,008501.jpg,0.5935975,0.135904834,0.000766865,0.196148872,0.01697658,0.031238353,0.016436372,0.008930678,121,242,90,121,008501.jpg5,female
008751.jpg1,008751.jpg,0.44648844,0.03755203,0.000168134,0.512121737,0.000204465,0.001088184,0.00176107,0.000615952,125,269,98,125,008751.jpg5,female
009001.jpg1,009001.jpg,0.678680658,0.045908887,0.020634309,0.19398351,0.001272726,0.00343932,0.030885031,0.025195586,125,230,83,125,009001.jpg5,female
009251.jpg1,009251.jpg,0.7074655,0.003409249,0.001448128,0.2596216,0.002569397,0.012411357,0.012198387,0.000876364,120,239,111,120,009251.jpg5,female
009501.jpg1,009501.jpg,0.803116441,0.012288764,0.00391937,0.07752789,0.004553348,0.06987535,0.01596417,0.012754661,125,253,104,125,009501.jpg5,female
009751.jpg1,009751.jpg,0.478636,0.163285464,0.000367431,0.347607583,0.001342833,0.005726665,0.001838782,0.001195238,121,244,88,121,009751.jpg5,female
010001.jpg1,010001.jpg,0.7247687,0.03797397,0.005133296,0.208896086,0.002275743,0.002198959,0.018017784,0.000735445,121,253,99,121,010001.jpg5,female
010251.jpg1,010251.jpg,0.903539538,0.008802201,0.008776534,0.068522945,7.82E-05,0.001716258,0.006443661,0.002120667,137,275,120,137,010251.jpg6,male
010501.jpg1,010501.jpg,0.879590869,7.12E-05,0.000149259,0.017683329,0.000195063,0.100167111,0.002100948,4.22E-05,117,280,88,117,010501.jpg6,female
010751.jpg1,010751.jpg,0.9141375,0.000132789,0.007874633,0.00032159,1.77E-05,0.07455784,0.001163877,0.001794038,44,112,79,44,010751.jpg2,male
010751.jpg2,010751.jpg,0.968890965,0.000603165,0.000721749,0.012199666,7.39E-05,0.005482557,0.011896872,0.000131115,42,483,97,42,010751.jpg10,female
011001.jpg1,011001.jpg,0.467233568,0.003260696,0.001111549,0.4501572,0.005107321,0.043560986,0.024169987,0.005398683,123,245,98,123,011001.jpg5,female
011251.jpg1,011251.jpg,0.458800882,3.77E-05,2.50E-06,0.540220737,1.04E-06,0.000108139,0.000828613,3.95E-07,118,298,105,118,011251.jpg6,female
011501.jpg1,011501.jpg,0.9302815,0.023359433,0.00678697,0.003909561,0.000212231,0.009362045,0.021750016,0.004338209,122,253,89,122,011501.jpg5,female
011751.jpg1,011751.jpg,0.787651837,0.00500857,0.015270754,0.132646218,0.000748206,0.005575312,0.040180776,0.012918326,124,229,107,124,011751.jpg5,female
012001.jpg1,012001.jpg,0.335903,0.003172843,9.89E-05,0.659635365,2.23E-05,0.000159109,0.000892718,0.000115791,119,261,82,119,012001.jpg5,female
012251.jpg1,012251.jpg,0.928889155,0.005404316,0.01655845,0.021834487,0.001002095,0.003943357,0.020015366,0.002352749,124,216,107,124,012251.jpg4,female
012501.jpg1,012501.jpg,0.762533,0.011297566,0.002196678,0.203870669,0.000793677,0.004373339,0.013980932,0.000954117,123,238,103,123,012501.jpg5,female
012751.jpg1,012751.jpg,0.088174626,2.80E-05,7.42E-07,0.9108059,7.47E-06,8.21E-05,0.000898768,2.33E-06,120,199,98,120,012751.jpg4,female
013001.jpg1,013001.jpg,0.6389638,0.213104144,0.015368862,0.111617431,0.002565105,0.002568382,0.011811111,0.004001171,125,244,109,125,013001.jpg5,female
013251.jpg1,013251.jpg,0.6594346,0.009696306,0.000417631,0.315250516,0.000184471,0.003788154,0.007623852,0.003604434,122,250,85,122,013251.jpg5,female
013501.jpg1,013501.jpg,0.0726773,0.000306088,6.34E-05,0.9240605,2.43E-05,0.002102105,0.000677595,8.87E-05,44,432,116,44,013501.jpg9,female
014001.jpg1,014001.jpg,0.8313769,0.00503298,0.000664932,0.107400812,0.00450539,0.043691173,0.005594646,0.001733177,123,278,90,123,014001.jpg6,female
014251.jpg1,014251.jpg,0.7919995,0.121012047,0.038586993,0.004189519,0.006947053,0.010909639,0.013418344,0.012936899,143,178,97,143,014251.jpg4,male
014501.jpg1,014501.jpg,0.775987566,0.022893598,0.09775674,0.014784362,0.0009255,0.012569206,0.026437689,0.04864532,151,162,87,151,014501.jpg3,male
014751.jpg1,014751.jpg,0.8590677,0.088689335,0.041575465,0.000202846,5.97E-06,9.54E-05,0.00221888,0.008144379,144,229,100,144,014751.jpg5,male
015251.jpg1,015251.jpg,0.8558861,0.016881798,0.093641326,0.004473965,5.84E-05,0.000700518,0.006611284,0.0217466,147,250,94,147,015251.jpg5,male
015501.jpg1,015501.jpg,0.5350339,0.001800205,0.007348,0.4189808,3.18E-05,0.001631745,0.016195899,0.018977715,144,230,114,144,015501.jpg5,male
015751.jpg1,015751.jpg,0.841181,0.141242653,0.009759386,0.003285193,0.000476338,0.000751386,0.002099682,0.001204403,142,214,104,142,015751.jpg4,male
016001.jpg1,016001.jpg,0.7287872,0.004385872,0.108094722,0.007280862,0.000237342,0.013878307,0.025935436,0.111400269,144,226,116,144,016001.jpg5,male
016251.jpg1,016251.jpg,0.856460333,0.060438123,0.006608663,0.060018253,0.000324642,0.007723002,0.003601803,0.004825199,144,230,93,144,016251.jpg5,male
016501.jpg1,016501.jpg,0.6423789,0.006074547,0.182823241,0.003372448,0.000312434,0.005618386,0.021183236,0.138236821,147,228,118,147,016501.jpg5,male
